bd_swab_id,qpcr_plate_id,average_ct,average_target_quant,standard,qpcr_date,qpcr_lab
160602_a21,pan061_082519,37.18,15.85,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a22,pan061_082519,37.65,11.23,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a23,pan061_082519,35.51,53.72,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a24,pan061_082519,33.39,251.88,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a25,pan061_082519,39.73,2.44,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a26,pan061_082519,39.06,3.99,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a27,pan061_082519,37.33,14.17,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160602_a28,pan061_082519,35.7,46.57,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a02,pan061_082519,34.09,150.92,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a03,pan061_082519,34.51,111.24,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a05,pan061_082519,39.07,3.97,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a06,pan061_082519,38.2,7.48,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a07,pan061_082519,35.37,59.27,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a10,pan061_082519,33.93,170.12,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a13,pan061_082519,34.06,154.77,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a14,pan061_082519,35.54,52.55,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a15,pan061_082519,39.04,4.04,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a16,pan061_082519,30.19,2619.48,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160603_a17,pan061_082519,32.26,575.78,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160606_a01,pan061_082519,33.16,298.32,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160606_a02,pan061_082519,33.73,196.54,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160616_a07,pan061_082519,36.1,34.78,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160616_a10,pan061_082519,34.4,120.37,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160616_a11,pan061_082519,35.75,44.85,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160616_a12,pan061_082519,39.23,3.54,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160616_a16,pan061_082519,33.98,164.45,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160617_g01,pan061_082519,35.49,54.3,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160618_a01,pan061_082519,36.83,20.48,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160618_a02,pan061_082519,33.68,204.43,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160618_a07,pan061_082519,30.54,2029.62,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160618_a09,pan061_082519,37.35,13.92,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a01,pan062_082519,36.29,5.73,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a03,pan062_082519,27.79,2845.18,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a06,pan062_082519,34,30.54,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a07,pan062_082519,26.7,6308.47,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a08,pan062_082519,36.98,3.46,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a09,pan062_082519,38.01,1.63,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_a13,pan062_082519,29.72,696.76,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160619_g01,pan062_082519,37.88,1.79,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160620_a06,pan062_082519,37.33,2.67,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160620_a07,pan062_082519,34.49,21.37,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160623_g09,pan062_082519,34.14,27.48,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160624_g13,pan062_082519,34.98,14.86,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160624_g24,pan062_082519,29.97,578.05,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160624_g28,pan062_082519,37.61,2.17,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160625_g01,pan062_082519,36.84,3.82,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160627_a21,pan063_082519,37.39,13.32,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160628_02,pan063_082519,35.94,37.3,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160628_03,pan063_082519,38.1,8.02,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160629_06,pan063_082519,32.68,378.26,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160629_07,pan063_082519,33.92,156.5,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160629_13,pan063_082519,39.7,2.59,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160701_05,pan063_082519,31.75,729.8,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a06,pan063_082519,29.81,2910.23,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a07,pan063_082519,31.58,822.97,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a08,pan063_082519,29.8,2932.07,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a09,pan063_082519,29.91,2693.36,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a10,pan063_082519,27.62,13753.6,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160702_a12,pan063_082519,31.25,1042.21,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160704_a03,pan063_082519,39.66,2.66,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160704_a18,pan063_082519,32.98,304.55,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160704_a25,pan063_082519,31.21,1076.16,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a01,pan063_082519,32.92,319.08,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a02,pan063_082519,33.65,189.56,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a09,pan063_082519,34.77,85.51,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a10,pan063_082519,37.7,10.65,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a11,pan063_082519,38.7,5.24,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160705_a22,pan063_082519,39.86,2.31,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160706_a01,pan064_082519,31.1,1400.6,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160706_a04,pan064_082519,37.76,13.78,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160706_a06,pan064_082519,38.31,9.38,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160706_a09,pan064_082519,37.05,22.45,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160706_g16,pan064_082519,32.72,454.54,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160709_a02,pan064_082519,36.96,24.05,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160709_a03,pan064_082519,32.52,523.3,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160709_a13,pan064_082519,28.98,6105.85,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160709_g16,pan064_082519,27.84,13474.64,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160710_a06,pan064_082519,36.24,39.58,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160710_g01,pan064_082519,36.71,28.43,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160710_g02,pan064_082519,27.63,15610.73,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g04,pan064_082519,30.75,1791.38,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g05,pan064_082519,33.64,240.37,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g06,pan064_082519,31.16,1345.41,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g07,pan064_082519,35.25,78.57,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g08,pan064_082519,37.34,18.43,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g09,pan064_082519,31.36,1172.67,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160711_g11,pan064_082519,36.07,44.52,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
160712_a05,pan064_082519,37.79,13.46,plasmid-pisces,2019-08-25T00:00:00Z,rz_lab
