bd_swab_id,extraction_plate_id,qpcr_plate_id,result,average_copy_number,average_ct,average_zoospores,comments,standard,master_mix,replicate,qpcr_machine,extraction_kit,extraction_date,qpcr_date,qpcr_lab,extract_lab
140512_01,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140512_02,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140512_03,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140513_r01,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140513_r02,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r01,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r02,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r03,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r04,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r05,cbextractions_20150123,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r06,jmextractions_20150127,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r07,jmextractions_20150127,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_r08,jmextractions_20150127,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140514_c01,jmextractions_20150127,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r01,cbextractions_20150128,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r02,cbextractions_20150128,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r03,cbextractions_20150128,grs42_20150203,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r04,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r05,cbextractions_20150128,grs45_20150402,"n,n,p",1.78,40.96,1424.42,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r06,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r07,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r08,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r09,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r10,cbextractions_20150128,grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r11,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r12,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r13,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r14,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r15,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r16,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r17,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r18,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r19,"jmextractions_20150324, jmextractions_20150217",grs45_20150402,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r20,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,p,p",7.43,41.36,5944.44,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r21,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r22,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r23,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r24,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,p,p",9.33,41.02,7465.13,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r25,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r26,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r27,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r28,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r29,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r30,"jmextractions_20150324, jmextractions_20150217",jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r31,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140515_r32,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r01,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r02,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r03,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r04,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r05,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r06,jmextractions_20150324,jm6_20150421,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r07,jmextractions_20150324,jm13_20150605,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r08,jmextractions_20150324,jm13_20150605,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r09,jmextractions_20150409,jm17_20150630,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r10,jmextractions_20150409,jm17_20150630,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r11,jmextractions_20150409,jm17_20150630,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r12,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r13,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r14,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r15,jmextractions_20150409,jm14_20150610,"p,p,p",122.65,37.18,98121.72,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r16,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r17,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r18,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r19,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r20,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r21,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r22,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r23,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r24,jmextractions_20150409,jm14_20150610,"p,p,n",1.69,43.87,1350.61,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r25,jmextractions_20150409,jm14_20150610,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r26,jmextractions_20150409,jm17_20150630,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r27,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r28,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r29,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r30,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r31,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r32,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r33,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140516_r34,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
140517_r01,jmextractions_20150409,jm7_20150512,"n,n,n",NA,NA,NA,NA,pisces,taqman,triplicate,abi_7500,qiagen_dneasy,NA,NA,jv_lab,jv_lab
